instancia,lucro_guloso,lucro_sa,tempo_guloso_ms,tempo_sa_ms
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_10_f_0.1_eps_0.0001_s_100\test.in,9981765208,9998474492,0,26
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_10_f_0.1_eps_0.0001_s_200\test.in,9996782102,9984950084,0,29
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_10_f_0.1_eps_0.0001_s_300\test.in,9987797016,9987957828,0,27
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_10_f_0.1_eps_0.001_s_100\test.in,9984233621,9985161999,0,24
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_10_f_0.1_eps_0.001_s_200\test.in,9994249881,9984700332,0,23
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_10_f_0.1_eps_0.001_s_300\test.in,9994263853,9994704534,0,25
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_10_f_0.1_eps_0.01_s_100\test.in,9981260200,9942974080,0,21
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_10_f_0.1_eps_0.01_s_200\test.in,9961739503,9971106475,0,22
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_10_f_0.1_eps_0.01_s_300\test.in,9930500811,9945331301,0,19
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_10_f_0.1_eps_0.1_s_100\test.in,9312506545,9796881156,0,19
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_10_f_0.1_eps_0.1_s_200\test.in,9507823943,9406260038,0,18
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_10_f_0.1_eps_0.1_s_300\test.in,9410173763,9351577998,0,18
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_10_f_0.1_eps_0_s_100\test.in,9980484517,9980474232,0,20
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_10_f_0.1_eps_0_s_200\test.in,9980502348,9980482077,0,21
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_10_f_0.1_eps_0_s_300\test.in,9980513918,9980485231,0,24
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_10_f_0.1_eps_1e-05_s_100\test.in,9993983684,9982475211,0,21
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_10_f_0.1_eps_1e-05_s_200\test.in,9995101103,9982081549,0,22
C:\Users\adria\Desktop\knapsack\problemInstances\n_1000_c_10000000000_g_10_f_0.1_eps_1e-05_s_300\test.in,9996516625,9982184351,0,20
