instance,greedy,sa,time_seconds,max_rss_kb
n_1000_c_10000000000_g_10_f_0.1_eps_0.0001_s_100,9981765208,9981765208,0.91,4224
n_1000_c_10000000000_g_10_f_0.1_eps_0.0001_s_200,9996782102,9996783525,1.01,4096
n_1000_c_10000000000_g_10_f_0.1_eps_0.0001_s_300,9987797016,9987799394,0.99,4224
n_1000_c_10000000000_g_10_f_0.1_eps_0.001_s_100,9984233621,9984234433,0.96,4096
n_1000_c_10000000000_g_10_f_0.1_eps_0.001_s_200,9994249881,9994250964,0.89,4224
n_1000_c_10000000000_g_10_f_0.1_eps_0.001_s_300,9994263853,9994266223,1.05,4224
n_1000_c_10000000000_g_10_f_0.1_eps_0.01_s_100,9981260200,9981260200,0.91,4352
n_1000_c_10000000000_g_10_f_0.1_eps_0.01_s_200,9961739503,9961739503,1.01,4224
n_1000_c_10000000000_g_10_f_0.1_eps_0.01_s_300,9930500811,9989095442,0.92,4096
n_1000_c_10000000000_g_10_f_0.1_eps_0.1_s_100,9312506545,9996100313,0.82,4096
n_1000_c_10000000000_g_10_f_0.1_eps_0.1_s_200,9507823943,9996105204,0.79,4224
n_1000_c_10000000000_g_10_f_0.1_eps_0.1_s_300,9410173763,9996111327,0.81,4224
n_1000_c_10000000000_g_10_f_0.1_eps_0_s_100,9980484517,9980484517,1.06,4224
n_1000_c_10000000000_g_10_f_0.1_eps_0_s_200,9980502348,9980502348,1.05,4224
n_1000_c_10000000000_g_10_f_0.1_eps_0_s_300,9980513918,9980513918,1.00,3968
n_1000_c_10000000000_g_10_f_0.1_eps_1e-05_s_100,9993983684,9993984439,1.02,4096
n_1000_c_10000000000_g_10_f_0.1_eps_1e-05_s_200,9995101103,9995102596,1.04,3968
n_1000_c_10000000000_g_10_f_0.1_eps_1e-05_s_300,9996516625,9996519203,0.87,4096
n_1000_c_10000000000_g_10_f_0.2_eps_0.0001_s_100,9979770635,9979770635,0.89,4096
n_1000_c_10000000000_g_10_f_0.2_eps_0.0001_s_200,9992320785,9992322018,0.84,4224
n_1000_c_10000000000_g_10_f_0.2_eps_0.0001_s_300,9981814424,9981814424,1.02,4224
n_1000_c_10000000000_g_10_f_0.2_eps_0.001_s_100,9990488340,9990488845,0.98,4224
n_1000_c_10000000000_g_10_f_0.2_eps_0.001_s_200,9999101295,9999102248,0.85,4224
n_1000_c_10000000000_g_10_f_0.2_eps_0.001_s_300,9982873683,9982875692,1.01,4096
n_1000_c_10000000000_g_10_f_0.2_eps_0.01_s_100,9935171811,9993765873,0.88,4352
n_1000_c_10000000000_g_10_f_0.2_eps_0.01_s_200,9996126329,9996126723,0.98,4352
n_1000_c_10000000000_g_10_f_0.2_eps_0.01_s_300,9946921968,9985985526,0.96,4096
n_1000_c_10000000000_g_10_f_0.2_eps_0.1_s_100,9546886859,9976574359,0.93,4352
n_1000_c_10000000000_g_10_f_0.2_eps_0.1_s_200,9507833265,9996114337,0.87,4096
n_1000_c_10000000000_g_10_f_0.2_eps_0.1_s_300,9546909979,9996128577,0.90,4096
n_1000_c_10000000000_g_10_f_0.2_eps_0_s_100,9980490148,9980490148,1.00,4224
n_1000_c_10000000000_g_10_f_0.2_eps_0_s_200,9980509372,9980509372,0.89,4096
n_1000_c_10000000000_g_10_f_0.2_eps_0_s_300,9980528513,9980528513,0.90,4224
n_1000_c_10000000000_g_10_f_0.2_eps_1e-05_s_100,9994389449,9994390092,1.01,4224
n_1000_c_10000000000_g_10_f_0.2_eps_1e-05_s_200,9993408974,9993410487,0.90,4352
n_1000_c_10000000000_g_10_f_0.2_eps_1e-05_s_300,9994327024,9994328786,1.00,4096
n_1000_c_10000000000_g_10_f_0.3_eps_0.0001_s_100,9987306296,9987306742,0.89,4224
n_1000_c_10000000000_g_10_f_0.3_eps_0.0001_s_200,9979800548,9979800548,1.02,4352
n_1000_c_10000000000_g_10_f_0.3_eps_0.0001_s_300,9983353436,9983355510,0.90,4224
n_1000_c_10000000000_g_10_f_0.3_eps_0.001_s_100,9988148883,9988149534,1.01,4096
n_1000_c_10000000000_g_10_f_0.3_eps_0.001_s_200,9971924470,9971924470,0.93,4224
n_1000_c_10000000000_g_10_f_0.3_eps_0.001_s_300,9990073595,9990076012,0.95,4224
n_1000_c_10000000000_g_10_f_0.3_eps_0.01_s_100,9957051874,9996114595,1.06,4224
n_1000_c_10000000000_g_10_f_0.3_eps_0.01_s_200,9896135612,9993792476,1.07,4096
n_1000_c_10000000000_g_10_f_0.3_eps_0.01_s_300,9903964518,9982088829,0.95,4224
n_1000_c_10000000000_g_10_f_0.3_eps_0.1_s_100,9937516312,9996110028,0.89,4096
n_1000_c_10000000000_g_10_f_0.3_eps_0.1_s_200,9527376292,9996126241,1.00,4224
