instance_name,greedy_profit,sa_profit
n_1000_c_10000000000_g_10_f_0.1_eps_0.0001_s_100,9981765208,9982943503
n_1000_c_10000000000_g_10_f_0.1_eps_0.0001_s_200,9996782102,9996480637
n_1000_c_10000000000_g_10_f_0.1_eps_0.0001_s_300,9987797016,9998487375
n_1000_c_10000000000_g_10_f_0.1_eps_0.001_s_100,9984233621,9994693182
n_1000_c_10000000000_g_10_f_0.1_eps_0.001_s_200,9994249881,9996106931
n_1000_c_10000000000_g_10_f_0.1_eps_0.001_s_300,9994263853,9983298384
n_1000_c_10000000000_g_10_f_0.1_eps_0.01_s_100,9981260200,9976568076
n_1000_c_10000000000_g_10_f_0.1_eps_0.01_s_200,9961739503,9917981074
n_1000_c_10000000000_g_10_f_0.1_eps_0.01_s_300,9930500811,9942206436
n_1000_c_10000000000_g_10_f_0.1_eps_0.1_s_100,9312506545,9832037313
n_1000_c_10000000000_g_10_f_0.1_eps_0.1_s_200,9507823943,9632823008
n_1000_c_10000000000_g_10_f_0.1_eps_0.1_s_300,9410173763,9101578535
n_1000_c_10000000000_g_10_f_0.1_eps_0_s_100,9980484517,9980474707
n_1000_c_10000000000_g_10_f_0.1_eps_0_s_200,9980502348,9980481131
n_1000_c_10000000000_g_10_f_0.1_eps_0_s_300,9980513918,9980486285
n_1000_c_10000000000_g_10_f_0.1_eps_1e-05_s_100,9993983684,9981974962
n_1000_c_10000000000_g_10_f_0.1_eps_1e-05_s_200,9995101103,9982381418
n_1000_c_10000000000_g_10_f_0.1_eps_1e-05_s_300,9996516625,9982985676
n_1000_c_10000000000_g_10_f_0.2_eps_0.0001_s_100,9979770635,9994480423
n_1000_c_10000000000_g_10_f_0.2_eps_0.0001_s_200,9992320785,9992490650
n_1000_c_10000000000_g_10_f_0.2_eps_0.0001_s_300,9981814424,9983974936
n_1000_c_10000000000_g_10_f_0.2_eps_0.001_s_100,9990488340,9993292167
n_1000_c_10000000000_g_10_f_0.2_eps_0.001_s_200,9999101295,9993303537
n_1000_c_10000000000_g_10_f_0.2_eps_0.001_s_300,9982873683,9993315258
n_1000_c_10000000000_g_10_f_0.2_eps_0.01_s_100,9935171811,9937511382
n_1000_c_10000000000_g_10_f_0.2_eps_0.01_s_200,9996126329,9974242003
n_1000_c_10000000000_g_10_f_0.2_eps_0.01_s_300,9946921968,9930501589
n_1000_c_10000000000_g_10_f_0.2_eps_0.1_s_100,9546886859,9421886474
n_1000_c_10000000000_g_10_f_0.2_eps_0.1_s_200,9507833265,9984394519
n_1000_c_10000000000_g_10_f_0.2_eps_0.1_s_300,9546909979,9101595687
n_1000_c_10000000000_g_10_f_0.2_eps_0_s_100,9980490148,9980480374
n_1000_c_10000000000_g_10_f_0.2_eps_0_s_200,9980509372,9980491834
n_1000_c_10000000000_g_10_f_0.2_eps_0_s_300,9980528513,9980503231
n_1000_c_10000000000_g_10_f_0.2_eps_1e-05_s_100,9994389449,9981880467
n_1000_c_10000000000_g_10_f_0.2_eps_1e-05_s_200,9993408974,9982592246
n_1000_c_10000000000_g_10_f_0.2_eps_1e-05_s_300,9994327024,9981899425
n_1000_c_10000000000_g_10_f_0.3_eps_0.0001_s_100,9987306296,9988954740
n_1000_c_10000000000_g_10_f_0.3_eps_0.0001_s_200,9979800548,9982971160
n_1000_c_10000000000_g_10_f_0.3_eps_0.0001_s_300,9983353436,9985988418
n_1000_c_10000000000_g_10_f_0.3_eps_0.001_s_100,9988148883,9986579645
n_1000_c_10000000000_g_10_f_0.3_eps_0.001_s_200,9971924470,9986595063
n_1000_c_10000000000_g_10_f_0.3_eps_0.001_s_300,9990073595,9997083473
n_1000_c_10000000000_g_10_f_0.3_eps_0.01_s_100,9957051874,9910953479
n_1000_c_10000000000_g_10_f_0.3_eps_0.01_s_200,9896135612,9978940278
n_1000_c_10000000000_g_10_f_0.3_eps_0.01_s_300,9903964518,9986765424
n_1000_c_10000000000_g_10_f_0.3_eps_0.1_s_100,9937516312,9406265694
n_1000_c_10000000000_g_10_f_0.3_eps_0.1_s_200,9527376292,9093781536
n_1000_c_10000000000_g_10_f_0.3_eps_0.1_s_300,9742237293,9835986097
n_1000_c_10000000000_g_10_f_0.3_eps_0_s_100,9980493403,9980485376
n_1000_c_10000000000_g_10_f_0.3_eps_0_s_200,9980517422,9980501068
n_1000_c_10000000000_g_10_f_0.3_eps_0_s_300,9980542611,9980519070
n_1000_c_10000000000_g_10_f_0.3_eps_1e-05_s_100,9992993336,9982685764
n_1000_c_10000000000_g_10_f_0.3_eps_1e-05_s_200,9993918149,9983001589
n_1000_c_10000000000_g_10_f_0.3_eps_1e-05_s_300,9993340186,9983017071
n_1000_c_10000000000_g_14_f_0.1_eps_0.0001_s_100,9999130691,9999606102
n_1000_c_10000000000_g_14_f_0.1_eps_0.0001_s_200,9998801294,9999715879
n_1000_c_10000000000_g_14_f_0.1_eps_0.0001_s_300,9999719718,9999295260
n_1000_c_10000000000_g_14_f_0.1_eps_0.001_s_100,9997209227,9995671698
n_1000_c_10000000000_g_14_f_0.1_eps_0.001_s_200,9991693569,9995209926
n_1000_c_10000000000_g_14_f_0.1_eps_0.001_s_300,9989552592,9995684215
n_1000_c_10000000000_g_14_f_0.1_eps_0.01_s_100,9995275247,9999908468
n_1000_c_10000000000_g_14_f_0.1_eps_0.01_s_200,9944310866,9992345921
